=== TEK ODAK ÖLÇÜMÜ (D-038) — ekranda aynı anda kaç zemin işareti var? ===
Yürüyüş: 142 durum · görev hattı 50 adım · masa slotu 20

--- ÖZET ---
  Durumların %44'inde ekranda BİRDEN ÇOK işaret ÇİZİLİYOR (62/142).
  EN YOĞUN durum: 3 çizilen işaret  →  "görev 14/50" (adım 13)
  EN YOĞUN TEK ALAN (kamera vekili): 3 işaret  →  salon 1, "görev 14/50"

--- KATMAN AYRIMI SONRASI: kaçı KONUŞUYOR? ---
  En çok KONUŞAN (yazı + maliyet): 2  ·  ortalama 1.42
  Bunların EN FAZLA BİRİ aktif adım (kaynak tek `activeStep` hedefi — yapısal garanti).
  Gerisi sessiz: küçük, yazısız halka. Çizilen 3 → konuşan 2.

--- KAYNAK KIRILIMI (işaret sayısı: ortalama / en çok) ---
  pad     ort 0.17  ·  en çok 1
  servis  ort 0.31  ·  en çok 1
  masa    ort 0.91  ·  en çok 1
  lavabo  ort 0.14  ·  en çok 1

--- EN YOĞUN DURUMDA EKRANDA NE VAR ---
  [pad   ] 2. Salon               salon 1  @ -1.6,8.5
  [servis] Çay/Tezgâh Yükselt     salon 1  @ -15.2,2.6
  [masa  ] Masa 1                 salon 1  @ -9.5,13.8

--- ZAMAN ÇİZGİSİ (işaret sayısı her değiştiğinde) ---
  adım   0   0 işaret  (p0 s0 m0 l0)  başlangıç
  adım   1   1 işaret  (p1 s0 m0 l0)  görev 3/50
  adım   5   2 işaret  (p1 s1 m0 l0)  görev 8/50
  adım   6   1 işaret  (p0 s1 m0 l0)  ✔ pad
  adım   7   2 işaret  (p1 s1 m0 l0)  görev 10/50
  adım   8   1 işaret  (p0 s1 m0 l0)  ✔ pad
  adım  11   2 işaret  (p1 s1 m0 l0)  görev 12/50
  adım  13   3 işaret  (p1 s1 m1 l0)  görev 14/50
  adım  14   2 işaret  (p0 s1 m1 l0)  ✔ pad
  adım  15   3 işaret  (p1 s1 m1 l0)  görev 15/50
  adım  16   2 işaret  (p0 s1 m1 l0)  ✔ pad
  adım  21   3 işaret  (p1 s1 m1 l0)  görev 19/50
  adım  22   2 işaret  (p0 s1 m1 l0)  ✔ pad
  adım  23   3 işaret  (p1 s1 m1 l0)  görev 21/50
  adım  24   2 işaret  (p0 s1 m1 l0)  ✔ pad
  adım  25   3 işaret  (p1 s1 m1 l0)  görev 22/50
  adım  26   2 işaret  (p0 s1 m1 l0)  ✔ pad
  adım  29   3 işaret  (p1 s1 m1 l0)  görev 24/50
  adım  30   2 işaret  (p0 s1 m1 l0)  ✔ pad
  adım  31   3 işaret  (p1 s1 m1 l0)  görev 25/50
  adım  32   2 işaret  (p0 s1 m1 l0)  ✔ pad
  adım  35   3 işaret  (p1 s1 m1 l0)  görev 27/50
  adım  36   2 işaret  (p0 s1 m1 l0)  ✔ pad
  adım  37   3 işaret  (p1 s1 m1 l0)  görev 28/50
  adım  38   2 işaret  (p0 s1 m1 l0)  ✔ pad
  adım  41   3 işaret  (p1 s1 m1 l0)  görev 31/50
  adım  42   2 işaret  (p0 s1 m1 l0)  ✔ pad
  adım  46   1 işaret  (p0 s0 m1 l0)  ✔ stationLevel
  adım  47   2 işaret  (p1 s0 m1 l0)  görev 35/50
  adım  48   1 işaret  (p0 s0 m1 l0)  ✔ pad
  adım  49   2 işaret  (p1 s0 m1 l0)  görev 36/50
  adım  51   3 işaret  (p1 s0 m1 l1)  görev 37/50
  adım  52   2 işaret  (p0 s0 m1 l1)  ✔ pad
  adım  55   3 işaret  (p1 s0 m1 l1)  görev 39/50
  adım  56   2 işaret  (p0 s0 m1 l1)  ✔ pad
  adım  59   3 işaret  (p1 s0 m1 l1)  görev 41/50
  adım  60   2 işaret  (p0 s0 m1 l1)  ✔ pad
  adım  63   3 işaret  (p1 s0 m1 l1)  görev 43/50
  adım  64   2 işaret  (p0 s0 m1 l1)  ✔ pad
  adım  67   3 işaret  (p1 s0 m1 l1)  görev 45/50
  adım  68   2 işaret  (p0 s0 m1 l1)  ✔ pad
  adım  70   1 işaret  (p0 s0 m1 l0)  ✔ lavaboLevel
  adım  71   2 işaret  (p1 s0 m1 l0)  görev 47/50
  adım  72   1 işaret  (p0 s0 m1 l0)  ✔ pad
  adım  73   2 işaret  (p1 s0 m1 l0)  görev 48/50
  adım  74   1 işaret  (p0 s0 m1 l0)  ✔ pad
  adım  75   2 işaret  (p1 s0 m1 l0)  görev 49/50
  adım  76   1 işaret  (p0 s0 m1 l0)  ✔ pad
  adım 141   0 işaret  (p0 s0 m0 l0)  serbest oyun

(kırılım: p=pad · s=servis · m=masa · l=lavabo)
